id,type,text1,text2,text3,text4,notes
rebelrats,FACTION,"Rats, rats, we are the rats
Celebrating yet another birthday bash
Michael, its your birthday today
Cake and ice-cream are on its way
And Michael's been such a good boy this year
Open up your gifts while we all cheer

The Krysan Federal Navy is the naval arm of the Federated States of Krysa responsible for enforcing the nation's celestial borders and safeguarding its citizens in the sector.

The Federated States of Krysa is a burgeoning polity governed by a directorial assembly who jointly serves as the collective head of state. The polity was formed from the, now defunct, Krysan Empire, after an interplanetary civil war. It is not known whether the nation is Domain in origin as there are no records of past colonization efforts that exists within Hegemony libraries. Nevertheless, it is clear to the sector that the nationstate has poised itself to be an opponent of the Hegemony; with a Krysan spokesperson stating the nation's disdain of the Hegemony's iron grip over the sector.

Despite the its apparent unity against hostile foreign powers, the nation is not without its own set of problems as the problem of rebel cells left over from the civil war still persist. Sporadic armed conflicts, not unlike that of pirate attacks, occur within the periphery of colonies, especially within the Tikus system where the influx of Persean Sector pirates and unruly debtors have lumped with rebel cells for a quick buck. Federal interdiction flotillas are often seen patrolling major trade routes to deter pirates while undercover agents keep foreign agents and rebel cells in check.

Regardless of its problems, the Federated States of Krysa remain stalwart and lustrous against the sea of darkness of the decaying Persean Sector. The nation is always optimistic with the prospect of finding new planets to colonize and expand its own domain.

Most importantly, instilled within every citizen is the nation's founding tenets that give them a common purpose, accompanied by its often heard motto:

""In the will of the gods, we fervently live.""




",,,,
,,,,,,
#PLANETS,,,,,,
rebelrats_rattus_planet,CUSTOM,"The planet serves as an example of the nation’s conviction to its founding tenets, manifesting itself in the people's ability to heal the planet's grievous wounds earned from its long history of conflict.

Today, Krysa presents itself to the sector as one of the most prosperous places to visit, bearing natural features similar to that of Old Earth despite nearly turning into an arid hellscape more than half a century earlier. Upon closer inspection, scars of past conflicts can be seen from with huge craters long filled by fauna.",,,,
rebelrats_malus_planet,CUSTOM,"Lawless is the word that can describe Malus. Despite its arid wastelands, small settlements pockmark around the planet's remaining major water sources, ranging from hastily made shanty towns, to relatively well-built hab towns that host their own spaceports. Whatever authority available is largely self-imposed through the use of force with shady backroom deals and smuggling by undesirables as the norm in the major settlements.

It was only recent when it became a hub of pirate activity. Its history goes far back into the days of the Empire when rebels used Malus as a smuggling port which eventually developed into hubs for undesirables to flock towards which inevitably grew to become its own independent entity.
",,,,
rebelrats_magawa_moon,CUSTOM,"Gigantic orbital berths orbiting around the planet dutifully service the numerous civilian freighters who have arrived to load and offload their holds. Magawan defence stations in the horizon orbit ponderously as a reminder of the planet’s grim history of multiple bombardments.

Despite its scarred looks due to decades of conflict, Magawa hosts one of the largest subterranean complexes of fortresses in the sector. These were built during the time of the Penance War from the vast network of old mining tunnels. Today, many of the former surface emplacements have been converted into civilian use, with the biggest ones eventually developing into fully fledged dome cities.
",,,,
rebelrats_rodentia_planet,CUSTOM,"The humble green giant has been the source of many Krysan folk tales and superstitions, often cited by olden folks to be where gods reside with their mountains of emerald riches. However, in contrast, children often joke that the gas giant's vivid hue is a result of the sheer amount of rat flatulence.

Today, Rodentia is home to the largest orbital refineries of Krysa, fuelling the armadas of the Federal Navy and housing the berths of the Krysan Federal Auxiliary Corps. Around the planet, trade fleets can be observed using the green giant’s immense gravity to save fuel via slingshots, providing a beautiful demonstration of graceful gravitational manoeuvres akin to that of old Earth.",,,,
rebelrats_nutria_planet,CUSTOM,"Amusingly referred to as the system's supermarket, Nutria is home to the largest settlement of independent traders second only to the Asteroid Central Station. The city of Spalax can be seen with its concourse of markets spanning the breadth of the city next to its equally gigantic space port that accommodates the flow of trade between Krysa and the rest of the Persean Sector.
",,,,
rebelrats_tikus_gasGiant,CUSTOM,"Like Rodentia, Tikus I has orbital refineries dotting across the planet's orbit, routinely sending out teams to mine the giant of its precious gas. The gas giant is the beating heart of the system's inhabitants, providing the necessary fuel for interstellar return trips. In the future, the gas giant is expected to overtake Rodentia as the nation's main source of fuel.",,,,
rebelrats_tikusII_planet,CUSTOM,"With relatively mild climates, rich ore and crop compatible soils, Tikus II easily became a prime target for Krysan colonisation efforts. While Tikus II is described as a jungle planet, it is far from being a single biome. Tikus II has a complex system of biomes with equatorial regions hosting the densest concentrations of flora and fauna while its highest peaks are just barely breathable for individuals due to the planet's thick atmosphere.",,,,
rebelrats_tikusIII_planet,CUSTOM,"Tikus III, despite its almost destitute geography, is host to numerous independent settlements that popped up during Krysan colonisation efforts. The settlements on the planet huddle around the systems of natural caves and tunnels that hosts the few places that settlers can actively grow food such as mushrooms and low-light crops.

Outside of what little crops can be exported, settlers also take to mining the pockets of gas and send it out to be refined on Tikus I as a external source of credits for the planet's economy.",,,,
,,,,,,
#STATIONS,,,,,,
rebelrats_powerstation,CUSTOM,A collector station designed by The Three Brothers Corporation to consume the power of the sun and beam it back to Krysan orbital power stations.,,,,
rebelrats_powerstation_interaction,CUSTOM,Rising thermal signatures eminating from the station's internals indicate massive reactors reactivating for a potential scuffle. Your gunnery officer promptly informs you that numerous targeting lasers are painting your fleet.,,,,
rebelrats_rod_station,CUSTOM,A station built by Rebel Rat Industries to extract the resources of Rodentia.,,,,
rebelrats_outerstation,CUSTOM,"A station made of massive cobbled together asteroids, Asteroid Central Station serves as the home port for miners and smugglers in the system. The massive station was once a humble outpost owned by a now defunct mining company and later rapidly expanded out of necessity as numerous refugees fled to the outpost during the Penance War.

Despite its ponderous appearance, the station is lightly-armed with very few large guns to speak off. The few dedicated defence modules that can be seen are a handful of jury-rigged gun platforms not too dissimilar to those found on Pirate or Pather stations.
",,,,
rebelrats_station,SHIP,A heavily armed orbital station equipped with a battery of doldrums railguns.,,,,
,,,,,,
#UNKOWN,,,,,,
rebelrats_lobsterclaw,WEAPON,"What.. what is this? What the hell- Avoid it at all costs. Dodge, parry even, avoid the beam of ultraheated lobsters at all costs!!!",,,,
rebelrats_ratship,SHIP,The blue lobster has evolved... by the time you are reading this you should focus on trying to escape rather than defeating it.. You may lose some capitals.,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
